MATURITY	COUPON	BID	ASKED	CHG	ASKED YIELD
9/15/2023	0.125	99.2040	99.2100	-0.0060	0.304
9/30/2023	0.250	99.2800	99.2840	unch.	0.306
9/30/2023	1.375	102.0300	102.0340	-0.0040	0.299
9/30/2023	2.875	105.0040	105.0100	-0.0100	0.308
10/15/2023	0.125	99.1920	99.1960	0.0000	0.316
10/31/2023	1.625	102.2040	102.2100	-0.0080	0.325
10/31/2023	2.875	105.0620	105.0660	-0.0120	0.325
11/15/2023	0.250	99.2540	99.2600	-0.0080	0.340
11/15/2023	2.750	105.0040	105.0100	-0.0180	0.335
11/30/2023	2.125	103.2400	103.2440	-0.0200	0.352
11/30/2023	2.875	105.1060	105.1120	-0.0240	0.355
12/15/2023	0.125	99.1460	99.1520	-0.0100	0.367
12/31/2023	2.250	104.0360	104.0420	-0.0180	0.377
12/31/2023	2.625	104.2960	104.3020	-0.7040	0.375
1/15/2024	0.125	99.1220	99.1260	-0.0080	0.393
1/31/2024	2.500	104.2520	104.2560	-0.0240	0.401
2/15/2024	0.125	99.1040	99.1100	-0.0160	0.407
2/15/2024	2.750	105.1540	105.1600	-0.0200	0.389
2/29/2024	2.125	104.0140	104.0200	-0.0180	0.411
2/29/2024	2.375	104.1920	104.1960	-0.0220	0.426
3/15/2024	0.250	99.1720	99.1760	-0.0180	0.435
3/31/2024	2.125	104.0260	104.0320	-0.0260	0.451
4/15/2024	0.375	99.2420	99.2460	-0.0180	0.466
4/30/2024	2.000	103.2760	103.2820	-0.0160	0.467
4/30/2024	2.250	104.1560	104.1620	-0.0160	0.471
5/15/2024	0.250	99.1160	99.1220	-0.0200	0.490
5/15/2024	2.500	105.0600	105.0640	-0.0300	0.478
5/31/2024	2.000	103.2960	103.3020	-0.7060	0.491
6/15/2024	0.250	99.0920	99.0960	-0.0140	0.512
6/30/2024	1.750	103.1020	103.1060	-0.0280	0.512
6/30/2024	2.000	104.0040	104.0100	-0.0220	0.504
7/15/2024	0.375	99.1740	99.1800	-0.0200	0.535
7/31/2024	1.750	103.1240	103.1300	-0.0280	0.524
7/31/2024	2.125	104.1320	104.1360	-0.0300	0.530
8/15/2024	0.375	99.1520	99.1560	-0.0280	0.555
8/15/2024	2.375	105.0520	105.0560	-0.0300	0.536
8/31/2024	1.250	101.3100	101.3140	-0.7040	0.555
8/31/2024	1.875	103.2500	103.2540	-0.0260	0.546
9/15/2024	0.375	99.1300	99.1340	-0.0220	0.575
9/30/2024	1.500	102.2300	102.2340	-0.0240	0.569
9/30/2024	2.125	104.1740	104.1800	-0.0220	0.572
10/31/2024	1.500	102.2320	102.2360	-0.0240	0.592
10/31/2024	2.250	105.0020	105.0060	-0.0200	0.587
11/15/2024	2.250	105.0040	105.0100	-0.0260	0.605
11/15/2024	7.500	121.0420	121.0460	-0.0480	0.588
11/30/2024	1.500	102.2300	102.2340	-0.0160	0.618
11/30/2024	2.125	104.2100	104.2140	-0.0240	0.617
12/31/2024	1.750	103.1700	103.1740	-0.0240	0.634
12/31/2024	2.250	105.0360	105.0420	-0.0260	0.636
1/31/2025	1.375	102.0960	102.1020	-0.0200	0.663
1/31/2025	2.500	106.0020	106.0060	-0.0240	0.653
2/15/2025	2.000	104.1220	104.1260	-0.0220	0.667
2/15/2025	7.625	123.0100	123.0140	-0.0560	0.644
2/28/2025	1.125	101.1460	101.1520	-0.0180	0.683
2/28/2025	2.750	106.2860	106.2920	-0.0300	0.680
3/31/2025	0.500	99.0840	99.0900	-0.0180	0.710
3/31/2025	2.625	106.1760	106.1820	-0.0260	0.703
4/30/2025	0.375	98.2300	98.2340	-0.0160	0.737
4/30/2025	2.875	107.1560	107.1620	-0.0340	0.730
5/15/2025	2.125	104.2760	104.2820	-0.0340	0.745
5/31/2025	0.250	98.0460	98.0520	-0.0260	0.763
5/31/2025	2.875	107.1820	107.1860	-0.0380	0.755
6/30/2025	0.250	98.0060	98.0120	-0.0340	0.786
6/30/2025	2.750	107.0620	107.0660	-0.0420	0.778
7/31/2025	0.250	97.2920	97.2960	-0.7100	0.804
7/31/2025	2.875	107.2440	107.2500	-0.0400	0.793
8/15/2025	2.000	104.1620	104.1660	-0.0380	0.802
8/15/2025	6.875	123.0020	123.0060	-0.0600	0.781
8/31/2025	0.250	97.2520	97.2560	-0.0300	0.826
8/31/2025	2.750	107.1200	107.1240	-0.0360	0.813
9/30/2025	0.250	97.2140	97.2200	-0.0320	0.844
9/30/2025	3.000	108.1340	108.1400	-0.0460	0.833
10/31/2025	0.250	97.1660	97.1720	-0.0340	0.870
10/31/2025	3.000	108.1640	108.1700	-0.0460	0.853
11/15/2025	2.250	105.1660	105.1720	-0.0400	0.869
11/30/2025	0.375	97.2820	97.2860	-0.0300	0.894
11/30/2025	2.875	108.0260	108.0320	-0.0380	0.875
12/31/2025	0.375	97.2500	97.2540	-0.0240	0.909
12/31/2025	2.625	107.0440	107.0500	-0.0360	0.892
1/31/2026	0.375	97.2060	97.2120	-0.0280	0.930
1/31/2026	2.625	107.0620	107.0660	-0.0400	0.912
2/15/2026	1.625	102.2960	102.3020	-0.7160	0.931
2/15/2026	6.000	121.1920	121.1960	-0.0580	0.911
